"Table 1.9. Tourism Intensity in towns and municipalities"

"Spatial unit","2021 Number of Population, Census 2021","2021 Surface Area, km2","2021 Number of Population 2021, per km2","2021 Number of Permanent Beds","2021 Tourist Arrivals","2021 Tourist Nights","2021 Number of Tourist Arrivals per 100 inhabitants","2021 Number of Tourist Nights per 100 inhabitants","2021 Number of Tourist Arrivals per km2","2021 Number of Tourist Nights per km2","2021 Number of Permanent Beds per 100 inhabitants","2021 Number of Permanent beds per km2","2021 Average Number of Tourist Nights per Arrival","2021 Average Number of Tourist Nights per Permanent Beds","2022 Number of Population, Census 2021","2022 Surface Area, km2","2022 Number of Population 2021, per km2","2022 Number of Permanent Beds","2022 Tourist Arrivals","2022 Tourist Nights","2022 Number of Tourist Arrivals per 100 inhabitants","2022 Number of Tourist Nights per 100 inhabitants","2022 Number of Tourist Arrivals per km2","2022 Number of Tourist Nights per km2","2022 Number of Permanent Beds per 100 inhabitants","2022 Number of Permanent beds per km2","2022 Average Number of Tourist Nights per Arrival","2022 Average Number of Tourist Nights per Permanent Beds","2023 Number of Population, Census 2021","2023 Surface Area, km2","2023 Number of Population 2021, per km2","2023 Number of Permanent Beds","2023 Tourist Arrivals","2023 Tourist Nights","2023 Number of Tourist Arrivals per 100 inhabitants","2023 Number of Tourist Nights per 100 inhabitants","2023 Number of Tourist Arrivals per km2","2023 Number of Tourist Nights per km2","2023 Number of Permanent Beds per 100 inhabitants","2023 Number of Permanent beds per km2","2023 Average Number of Tourist Nights per Arrival","2023 Average Number of Tourist Nights per Permanent Beds","2024 Number of Population, Census 2021","2024 Surface Area, km2","2024 Number of Population 2021, per km2","2024 Number of Permanent Beds","2024 Tourist Arrivals","2024 Tourist Nights","2024 Number of Tourist Arrivals per 100 inhabitants","2024 Number of Tourist Nights per 100 inhabitants","2024 Number of Tourist Arrivals per km2","2024 Number of Tourist Nights per km2","2024 Number of Permanent Beds per 100 inhabitants","2024 Number of Permanent beds per km2","2024 Average Number of Tourist Nights per Arrival","2024 Average Number of Tourist Nights per Permanent Beds"
"Polaèa",1389,29.99,46,349,1842,15935,132.6,1147.2,61.4,531.3,25.1,11.6,8.7,45.7,1389,29.99,46,407,2480,21158,178.5,1523.3,82.7,705.5,29.3,13.6,8.5,52.0,1389,29.99,46,455,2717,21512,195.6,1548.7,90.6,717.3,32.8,15.2,7.9,47.3,1389,29.99,46,467,3206,25409,230.8,1829.3,106.9,847.2,33.6,15.6,7.9,54.4
"Poliènik",4676,81.75,57,378,2178,18840,46.6,402.9,26.6,230.5,8.1,4.6,8.7,49.8,4676,81.75,57,461,3480,29117,74.4,622.7,42.6,356.2,9.9,5.6,8.4,63.2,4676,81.75,57,508,4134,31828,88.4,680.7,50.6,389.3,10.9,6.2,7.7,62.7,4676,81.75,57,645,4897,35618,104.7,761.7,59.9,435.7,13.8,7.9,7.3,55.2
"Posedarje",3430,77.48,44,1456,10957,75675,319.4,2206.3,141.4,976.7,42.4,18.8,6.9,52.0,3430,77.48,44,1553,z,z,z,z,z,z,45.3,20.0,z,z,3430,77.48,44,1551,14962,91837,436.2,2677.5,193.1,1185.3,45.2,20.0,6.1,59.2,3430,77.48,44,1658,15688,94343,457.4,2750.5,202.5,1217.6,48.3,21.4,6.0,56.9
"Povljana",669,38.38,17,2278,16134,119906,2411.7,17923.2,420.4,3124.2,340.5,59.4,7.4,52.6,669,38.38,17,1806,15874,118177,2372.8,17664.7,413.6,3079.1,270.0,47.1,7.4,65.4,669,38.38,17,1905,15108,113112,2258.3,16907.6,393.6,2947.2,284.8,49.6,7.5,59.4,669,38.38,17,3745,37763,244176,5644.7,36498.7,983.9,6362.1,559.8,97.6,6.5,65.2
"Preko",3556,54.57,65,3318,23179,191357,651.8,5381.2,424.8,3506.6,93.3,60.8,8.3,57.7,3556,54.57,65,3358,26998,207897,759.2,5846.4,494.7,3809.7,94.4,61.5,7.7,61.9,3556,54.57,65,3266,27278,204515,767.1,5751.3,499.9,3747.8,91.8,59.8,7.5,62.6,3556,54.57,65,3387,27670,203549,778.1,5724.1,507.1,3730.1,95.2,62.1,7.4,60.1
"Privlaka",2128,11.07,192,5203,33145,261299,1557.6,12279.1,2994.1,23604.2,244.5,470.0,7.9,50.2,2128,11.07,192,5127,41860,317891,1967.1,14938.5,3781.4,28716.4,240.9,463.1,7.6,62.0,2128,11.07,192,5269,45052,326229,2117.1,15330.3,4069.7,29469.6,247.6,476.0,7.2,61.9,2128,11.07,192,5528,43835,315374,2059.9,14820.2,3959.8,28489.1,259.8,499.4,7.2,57.1
"Ražanac",2746,68.89,39,3065,20247,159462,737.3,5807.1,293.9,2314.7,111.6,44.5,7.9,52.0,2746,68.89,39,3087,24710,191837,899.9,6986.1,358.7,2784.7,112.4,44.8,7.8,62.1,2746,68.89,39,3162,26427,198177,962.4,7216.9,383.6,2876.7,115.1,45.9,7.5,62.7,2746,68.89,39,3271,26923,194005,980.4,7065.0,390.8,2816.2,119.1,47.5,7.2,59.3
"Sali",1746,124.22,14,3062,29839,213324,1709.0,12217.9,240.2,1717.3,175.4,24.6,7.1,69.7,1746,124.22,14,3034,32954,223569,1887.4,12804.6,265.3,1799.8,173.8,24.4,6.8,73.7,1746,124.22,14,3010,31526,212835,1805.6,12189.9,253.8,1713.4,172.4,24.2,6.8,70.7,1746,124.22,14,2919,31998,209467,1832.6,11997.0,257.6,1686.3,167.2,23.5,6.5,71.8
"Stankovci",1831,68.67,26,86,542,3732,29.6,203.8,7.9,54.3,4.7,1.3,6.9,43.4,1831,68.67,26,140,777,6721,42.4,367.1,11.3,97.9,7.6,2.0,8.6,48.0,1831,68.67,26,142,802,6725,43.8,367.3,11.7,97.9,7.8,2.1,8.4,47.4,1831,68.67,26,157,857,6476,46.8,353.7,12.5,94.3,8.6,2.3,7.6,41.2
"Starigrad",1697,168.74,10,7692,73282,408246,4318.3,24056.9,434.3,2419.4,453.3,45.6,5.6,53.1,1697,168.74,10,7672,86961,493186,5124.4,29062.2,515.4,2922.8,452.1,45.5,5.7,64.3,1697,168.74,10,7570,84489,458075,4978.7,26993.2,500.7,2714.7,446.1,44.9,5.4,60.5,1697,168.74,10,7549,85637,463017,5046.4,27284.4,507.5,2744.0,444.8,44.7,5.4,61.3
"Sukošan",4665,56.44,82,4449,32389,226517,694.3,4855.7,573.9,4013.4,95.4,78.8,7.0,50.9,4665,56.44,82,4468,38984,265200,835.7,5684.9,690.7,4698.8,95.8,79.2,6.8,59.4,4665,56.44,82,4573,41027,267373,879.5,5731.5,726.9,4737.3,98.0,81.0,6.5,58.5,4665,56.44,82,4802,44603,280478,956.1,6012.4,790.3,4969.5,102.9,85.1,6.3,58.4
"Sveti Filip i Jakov",4461,47.58,93,6967,43547,339667,976.2,7614.1,915.2,7138.9,156.2,146.4,7.8,48.8,4461,47.58,93,6779,53312,408137,1195.1,9149.0,1120.5,8577.9,152.0,142.5,7.7,60.2,4461,47.58,93,6361,45185,346201,1012.9,7760.6,949.7,7276.2,142.6,133.7,7.7,54.4,4461,47.58,93,6563,46716,343075,1047.2,7690.5,981.8,7210.5,147.1,137.9,7.3,52.3
"Škabrnja",1661,22.67,73,78,519,4299,31.2,258.8,22.9,189.6,4.7,3.4,8.3,55.1,1661,22.67,73,76,z,z,z,z,z,z,4.6,3.4,z,z,1661,22.67,73,99,z,z,z,z,z,z,6.0,4.4,z,z,1661,22.67,73,109,938,6673,56.5,401.7,41.4,294.4,6.6,4.8,7.1,61.2
"Tkon",748,14.87,50,1526,10118,90247,1352.7,12065.1,680.4,6069.1,204.0,102.6,8.9,59.1,748,14.87,50,1534,11312,97844,1512.3,13080.7,760.7,6580.0,205.1,103.2,8.6,63.8,748,14.87,50,1541,11078,95826,1481.0,12811.0,745.0,6444.3,206.0,103.6,8.7,62.2,748,14.87,50,1570,11081,96978,1481.4,12965.0,745.2,6521.7,209.9,105.6,8.8,61.8
"Vir",3045,22.17,137,11232,77788,594417,2554.6,19521.1,3508.7,26811.8,368.9,506.6,7.6,52.9,3045,22.17,137,11346,90952,685947,2986.9,22527.0,4102.5,30940.3,372.6,511.8,7.5,60.5,3045,22.17,137,11505,97384,714076,3198.2,23450.8,4392.6,32209.1,377.8,518.9,7.3,62.1,3045,22.17,137,11679,97358,702013,3197.3,23054.6,4391.4,31665.0,383.5,526.8,7.2,60.1
"Vrsi",2045,37.00,55,2335,15937,126925,779.3,6206.6,430.7,3430.4,114.2,63.1,8.0,54.4,2045,37.00,55,2434,18823,149284,920.4,7300.0,508.7,4034.7,119.0,65.8,7.9,61.3,2045,37.00,55,2510,18425,142913,901.0,6988.4,498.0,3862.5,122.7,67.8,7.8,56.9,2045,37.00,55,2609,18723,145663,915.6,7122.9,506.0,3936.8,127.6,70.5,7.8,55.8
"Zadar",70779,192.13,368,21948,360508,1518174,509.3,2144.9,1876.4,7901.8,31.0,114.2,4.2,69.2,70779,192.13,368,23381,514148,1982159,726.4,2800.5,2676.0,10316.8,33.0,121.7,3.9,84.8,70779,192.13,368,24231,608834,2145586,860.2,3031.4,3168.9,11167.4,34.2,126.1,3.5,88.5,70779,192.13,368,25741,668243,2299125,944.1,3248.3,3478.1,11966.5,36.4,134.0,3.4,89.3
"Zemunik Donji",2159,54.83,39,176,1344,11011,62.3,510.0,24.5,200.8,8.2,3.2,8.2,62.6,2159,54.83,39,206,1772,14512,82.1,672.2,32.3,264.7,9.5,3.8,8.2,70.4,2159,54.83,39,249,1720,13859,79.7,641.9,31.4,252.8,11.5,4.5,8.1,55.7,2159,54.83,39,292,2260,15516,104.7,718.7,41.2,283.0,13.5,5.3,6.9,53.1
"County of Šibenik-Knin",96381,2968.57,32,78288,705002,4383093,731.5,4547.7,237.5,1476.5,81.2,26.4,6.2,56.0,96381,2968.57,32,81349,885556,5226083,918.8,5422.3,298.3,1760.5,84.4,27.4,5.9,64.2,96381,2968.57,32,82499,909009,5067586,943.1,5257.9,306.2,1707.1,85.6,27.8,5.6,61.4,96381,2968.57,32,83247,935011,5130465,970.1,5323.1,315.0,1728.3,86.4,28.0,5.5,61.6
"Bilice",2546,20.95,121,681,5272,33758,207.1,1325.9,251.6,1611.4,26.7,32.5,6.4,49.6,2546,20.95,121,694,6173,36999,242.5,1453.2,294.7,1766.1,27.3,33.1,6.0,53.3,2546,20.95,121,721,6526,37385,256.3,1468.4,311.5,1784.5,28.3,34.4,5.7,51.9,2546,20.95,121,736,6489,36423,254.9,1430.6,309.7,1738.6,28.9,35.1,5.6,49.5
"Biskupija",1177,133.42,8,-,-,-,-,-,-,-,-,-,-,-,1177,133.42,8,6,z,z,z,z,z,z,0.5,0.0,z,z,1177,133.42,8,2,z,z,z,z,z,z,0.2,0.0,z,z,1177,133.42,8,2,z,z,z,z,z,z,0.2,0.0,z,z
"Civljane",171,82.90,2,24,z,z,z,z,z,z,14.0,0.3,z,z,171,82.90,2,24,z,z,z,z,z,z,14.0,0.3,z,z,171,82.90,2,20,z,z,z,z,z,z,11.7,0.2,z,z,171,82.90,2,12,z,z,z,z,z,z,7.0,0.1,z,z
"Drniš",6276,351.75,17,514,4476,21284,71.3,339.1,12.7,60.5,8.2,1.5,4.8,41.4,6276,351.75,17,536,4945,26850,78.8,427.8,14.1,76.3,8.5,1.5,5.4,50.1,6276,351.75,17,594,5253,27060,83.7,431.2,14.9,76.9,9.5,1.7,5.2,45.6,6276,351.75,17,564,4629,24444,73.8,389.5,13.2,69.5,9.0,1.6,5.3,43.3
"Ervenik",789,212.83,3,8,z,z,z,z,z,z,1.0,0.0,z,z,789,212.83,3,8,z,z,z,z,z,z,1.0,0.0,z,z,789,212.83,3,8,z,z,z,z,z,z,1.0,0.0,z,z,789,212.83,3,8,z,z,z,z,z,z,1.0,0.0,z,z
"Kijevo",272,76.85,3,26,375,1406,137.9,516.9,4.9,18.3,9.6,0.3,3.7,54.1,272,76.85,3,26,513,1564,188.6,575.0,6.7,20.4,9.6,0.3,3.0,60.2,272,76.85,3,32,481,1758,176.8,646.3,6.3,22.9,11.8,0.4,3.7,54.9,272,76.85,3,31,774,2054,284.6,755.1,10.1,26.7,11.4,0.4,2.7,66.3
"Kistanje",2650,242.97,10,35,211,2122,8.0,80.1,0.9,8.7,1.3,0.1,10.1,60.6,2650,242.97,10,35,245,1867,9.2,70.5,1.0,7.7,1.3,0.1,7.6,53.3,2650,242.97,10,31,381,1798,14.4,67.8,1.6,7.4,1.2,0.1,4.7,58.0,2650,242.97,10,35,z,z,z,z,z,z,1.3,0.1,z,z
"Knin",11633,355.01,32,153,1819,3770,15.6,32.4,5.1,10.6,1.3,0.4,2.1,24.6,11633,355.01,32,234,2462,5109,21.2,43.9,6.9,14.4,2.0,0.7,2.1,21.8,11633,355.01,32,226,3886,7018,33.4,60.3,10.9,19.8,1.9,0.6,1.8,31.1,11633,355.01,32,286,5620,9228,48.3,79.3,15.8,26.0,2.5,0.8,1.6,32.3
"Murter-Kornati",1934,78.72,24,4921,35904,258921,1856.5,13387.8,456.1,3289.1,254.4,62.5,7.2,52.6,1934,78.72,24,5254,41782,298685,2160.4,15443.9,530.8,3794.3,271.7,66.7,7.1,56.8,1934,78.72,24,5321,42650,291075,2205.3,15050.4,541.8,3697.6,275.1,67.6,6.8,54.7,1934,78.72,24,5372,43348,288944,2241.4,14940.2,550.7,3670.5,277.8,68.2,6.7,53.8
"Pirovac",1606,39.30,40,3836,23090,169504,1437.7,10554.4,587.5,4313.1,238.9,97.6,7.3,44.2,1606,39.30,40,3855,27155,196534,1690.8,12237.5,691.0,5000.9,240.0,98.1,7.2,51.0,1606,39.30,40,3949,25725,181225,1601.8,11284.2,654.6,4611.3,245.9,100.5,7.0,45.9,1606,39.30,40,3807,26815,182317,1669.7,11352.2,682.3,4639.1,237.0,96.9,6.8,47.9
"Primošten",2627,58.46,44,8109,78971,546862,3006.1,20817.0,1350.9,9354.5,308.7,138.7,6.9,67.4,2627,58.46,44,8165,91986,613682,3501.6,23360.6,1573.5,10497.5,310.8,139.7,6.7,75.2,2627,58.46,44,8258,83501,549644,3178.6,20922.9,1428.3,9402.1,314.4,141.3,6.6,66.6,2627,58.46,44,8283,86806,572876,3304.4,21807.2,1484.9,9799.5,315.3,141.7,6.6,69.2
"Promina",943,139.25,6,112,736,4165,78.0,441.7,5.3,29.9,11.9,0.8,5.7,37.2,943,139.25,6,161,1061,6856,112.5,727.0,7.6,49.2,17.1,1.2,6.5,42.6,943,139.25,6,153,932,6650,98.8,705.2,6.7,47.8,16.2,1.1,7.1,43.5,943,139.25,6,129,993,6201,105.3,657.6,7.1,44.5,13.7,0.9,6.2,48.1
"Rogoznica",2106,68.13,30,9213,68053,537198,3231.4,25508.0,998.9,7884.9,437.5,135.2,7.9,58.3,2106,68.13,30,9644,79314,615054,3766.1,29204.8,1164.2,9027.7,457.9,141.6,7.8,63.8,2106,68.13,30,9604,77177,574715,3664.6,27289.4,1132.8,8435.6,456.0,141.0,7.4,59.8,2106,68.13,30,9696,76840,569616,3648.6,27047.3,1127.8,8360.7,460.4,142.3,7.4,58.7
"Ružiæ",1283,161.02,7,56,237,1978,18.5,154.2,1.5,12.3,4.4,0.3,8.3,35.3,1283,161.02,7,71,z,z,z,z,z,z,5.5,0.4,z,z,1283,161.02,7,77,291,2156,22.7,168.0,1.8,13.4,6.0,0.5,7.4,28.0,1283,161.02,7,75,255,2295,19.9,178.9,1.6,14.3,5.8,0.5,9.0,30.6
"Skradin",3349,184.17,18,903,15386,36694,459.4,1095.7,83.5,199.2,27.0,4.9,2.4,40.6,3349,184.17,18,1007,19335,48445,577.3,1446.6,105.0,263.0,30.1,5.5,2.5,48.1,3349,184.17,18,976,20873,49199,623.3,1469.1,113.3,267.1,29.1,5.3,2.4,50.4,3349,184.17,18,953,20631,48121,616.0,1436.9,112.0,261.3,28.5,5.2,2.3,50.5
"Šibenik",42599,399.46,106,20266,224222,1153417,526.4,2707.6,561.3,2887.4,47.6,50.7,5.1,56.9,42599,399.46,106,21343,288004,1391709,676.1,3267.0,721.0,3484.0,50.1,53.4,4.8,65.2,42599,399.46,106,21661,293622,1329152,689.3,3120.1,735.0,3327.4,50.8,54.2,4.5,61.4,42599,399.46,106,21864,317290,1383353,744.8,3247.4,794.3,3463.1,51.3,54.7,4.4,63.3
"Tisno",2908,66.53,43,10724,77902,577115,2678.9,19845.8,1170.9,8674.5,368.8,161.2,7.4,53.8,2908,66.53,43,10919,90211,667591,3102.2,22957.0,1355.9,10034.4,375.5,164.1,7.4,61.1,2908,66.53,43,11030,95991,673689,3300.9,23166.7,1442.8,10126.1,379.3,165.8,7.0,61.1,2908,66.53,43,11052,94588,671662,3252.7,23097.0,1421.7,10095.6,380.1,166.1,7.1,60.8
"Tribunj",1594,15.28,104,2697,18164,139900,1139.5,8776.7,1188.7,9155.8,169.2,176.5,7.7,51.9,1594,15.28,104,2625,20282,155520,1272.4,9756.6,1327.4,10178.0,164.7,171.8,7.7,59.2,1594,15.28,104,2686,21093,154861,1323.3,9715.2,1380.4,10134.9,168.5,175.8,7.3,57.7,1594,15.28,104,2621,19833,145949,1244.2,9156.1,1298.0,9551.6,164.4,171.5,7.4,55.7
"Unešiæ",1269,188.92,6,68,378,3277,29.8,258.2,2.0,17.3,5.4,0.4,8.7,48.2,1269,188.92,6,86,497,4775,39.2,376.3,2.6,25.3,6.8,0.5,9.6,55.5,1269,188.92,6,98,611,5121,48.1,403.5,3.2,27.1,7.7,0.5,8.4,52.3,1269,188.92,6,122,658,5792,51.9,456.4,3.5,30.7,9.6,0.6,8.8,47.5
"Vodice",8649,92.65,93,15942,149656,890996,1730.3,10301.7,1615.3,9616.8,184.3,172.1,6.0,55.9,8649,92.65,93,16656,211256,1152309,2442.5,13323.0,2280.2,12437.2,192.6,179.8,5.5,69.2,8649,92.65,93,17052,229941,1174623,2658.6,13581.0,2481.8,12678.1,197.2,184.0,5.1,68.9,8649,92.65,93,17599,229128,1179308,2649.2,13635.2,2473.0,12728.6,203.5,190.0,5.1,67.0
"County of Split-Dalmatia",423407,4538.32,93,219447,2309054,13473405,545.4,3182.1,508.8,2968.8,51.8,48.4,5.8,61.4,423407,4538.32,93,230095,3202719,17085151,756.4,4035.2,705.7,3764.6,54.3,50.7,5.3,74.3,423407,4538.32,93,236630,3580899,17774875,845.7,4198.1,789.0,3916.6,55.9,52.1,5.0,75.1,423407,4538.32,93,240723,3765889,18270528,889.4,4315.1,829.8,4025.8,56.9,53.0,4.9,75.9
"Baška Voda",2590,25.66,100,13214,119651,817151,4619.7,31550.2,4662.9,31845.3,510.2,515.0,6.8,61.8,2590,25.66,100,13257,153860,977386,5940.5,37736.9,5996.1,38089.9,511.9,516.6,6.4,73.7,2590,25.66,100,13358,163956,997891,6330.3,38528.6,6389.6,38889.0,515.8,520.6,6.1,74.7,2590,25.66,100,13409,164879,998968,6366.0,38570.2,6425.5,38930.9,517.7,522.6,6.1,74.5
"Bol",1678,23.33,71,6062,71689,406854,4272.3,24246.4,3072.8,17439.1,361.3,259.8,5.7,67.1,1678,23.33,71,6440,93018,507055,5543.4,30217.8,3987.1,21734.0,383.8,276.0,5.5,78.7,1678,23.33,71,6559,103938,545204,6194.2,32491.3,4455.1,23369.2,390.9,281.1,5.2,83.1,1678,23.33,71,6411,110601,581199,6591.2,34636.4,4740.7,24912.1,382.1,274.8,5.3,90.7
"Brela",1626,26.80,60,6795,74027,521132,4552.7,32049.9,2762.2,19445.2,417.9,253.5,7.0,76.7,1626,26.80,60,6976,88620,581283,5450.2,35749.3,3306.7,21689.7,429.0,260.3,6.6,83.3,1626,26.80,60,6890,116507,653972,7165.3,40219.7,4347.3,24401.9,423.7,257.1,5.6,94.9,1626,26.80,60,6768,115692,660559,7115.1,40624.8,4316.9,24647.7,416.2,252.5,5.7,97.6
"Cista Provo",1799,108.10,16,120,737,6270,41.0,348.5,6.8,58.0,6.7,1.1,8.5,52.3,1799,108.10,16,148,973,7651,54.1,425.3,9.0,70.8,8.2,1.4,7.9,51.7,1799,108.10,16,171,971,6861,54.0,381.4,9.0,63.5,9.5,1.6,7.1,40.1,1799,108.10,16,175,1185,8159,65.9,453.5,11.0,75.5,9.7,1.6,6.9,46.6
"Dicmo",2805,69.04,40,165,991,8343,35.3,297.4,14.4,120.8,5.9,2.4,8.4,50.6,2805,69.04,40,182,1279,10089,45.6,359.7,18.5,146.1,6.5,2.6,7.9,55.4,2805,69.04,40,192,1411,10046,50.3,358.1,20.4,145.5,6.8,2.8,7.1,52.3,2805,69.04,40,210,1595,11624,56.9,414.4,23.1,168.4,7.5,3.0,7.3,55.4
"Dugi Rat",6876,11.02,623,6484,48079,348111,699.2,5062.7,4362.9,31589.0,94.3,588.4,7.2,53.7,6876,11.02,623,6706,59603,411953,866.8,5991.2,5408.6,37382.3,97.5,608.5,6.9,61.4,6876,11.02,623,6938,64252,432660,934.4,6292.3,5830.5,39261.3,100.9,629.6,6.7,62.4,6876,11.02,623,6987,67810,451005,986.2,6559.1,6153.4,40926.0,101.6,634.0,6.7,64.5
"Dugopolje",3742,63.65,58,194,1426,9743,38.1,260.4,22.4,153.1,5.2,3.0,6.8,50.2,3742,63.65,58,221,2243,13491,59.9,360.5,35.2,212.0,5.9,3.5,6.0,61.0,3742,63.65,58,243,2552,14050,68.2,375.5,40.1,220.7,6.5,3.8,5.5,57.8,3742,63.65,58,270,2759,15106,73.7,403.7,43.3,237.3,7.2,4.2,5.5,55.9
"Gradac",2401,72.12,33,10704,102024,688964,4249.2,28694.9,1414.6,9553.0,445.8,148.4,6.8,64.4,2401,72.12,33,11084,135828,842877,5657.1,35105.2,1883.4,11687.1,461.6,153.7,6.2,76.0,2401,72.12,33,10539,132126,798477,5503.0,33256.0,1832.0,11071.5,438.9,146.1,6.0,75.8,2401,72.12,33,10575,134828,819056,5615.5,34113.1,1869.5,11356.8,440.4,146.6,6.1,77.5
"Hrvace",3144,207.77,15,112,564,3855,17.9,122.6,2.7,18.6,3.6,0.5,6.8,34.4,3144,207.77,15,108,650,4918,20.7,156.4,3.1,23.7,3.4,0.5,7.6,45.5,3144,207.77,15,97,635,4651,20.2,147.9,3.1,22.4,3.1,0.5,7.3,47.9,3144,207.77,15,97,563,3526,17.9,112.2,2.7,17.0,3.1,0.5,6.3,36.4
"Hvar",3979,75.69,52,8904,114893,495219,2887.5,12445.8,1517.9,6542.7,223.8,117.6,4.3,55.6,3979,75.69,52,9481,165581,643804,4161.4,16180.0,2187.6,8505.8,238.3,125.3,3.9,67.9,3979,75.69,52,9609,188143,656599,4728.4,16501.6,2485.7,8674.8,241.5,127.0,3.5,68.3,3979,75.69,52,9454,195455,660249,4912.2,16593.3,2582.3,8723.1,237.6,124.9,3.4,69.8
"Imotski",9153,58.46,156,649,3184,23381,34.8,255.4,54.5,399.9,7.1,11.1,7.3,36.0,9153,58.46,156,918,5395,39400,58.9,430.5,92.3,674.0,10.0,15.7,7.3,42.9,9153,58.46,156,1083,6573,40930,71.8,447.2,112.4,700.1,11.8,18.5,6.2,37.8,9153,58.46,156,1108,8627,45381,94.3,495.8,147.6,776.3,12.1,19.0,5.3,41.0
"Jelsa",3501,139.70,25,8487,64618,504370,1845.7,14406.5,462.5,3610.4,242.4,60.8,7.8,59.4,3501,139.70,25,8345,78706,578403,2248.1,16521.1,563.4,4140.3,238.4,59.7,7.3,69.3,3501,139.70,25,8318,80436,586407,2297.5,16749.7,575.8,4197.6,237.6,59.5,7.3,70.5,3501,139.70,25,8130,76228,545744,2177.3,15588.2,545.7,3906.5,232.2,58.2,7.2,67.1
"Kaštela",37794,57.63,655,8937,71538,472249,189.3,1249.5,1241.3,8194.5,23.6,155.1,6.6,52.8,37794,57.63,655,10057,104774,628560,277.2,1663.1,1818.0,10906.8,26.6,174.5,6.0,62.5,37794,57.63,655,11190,117807,645600,311.7,1708.2,2044.2,11202.5,29.6,194.2,5.5,57.7,37794,57.63,655,11991,129525,692959,342.7,1833.5,2247.5,12024.3,31.7,208.1,5.4,57.8
"Klis",5226,149.07,35,412,3510,20845,67.2,398.9,23.5,139.8,7.9,2.8,5.9,50.6,5226,149.07,35,466,4509,26847,86.3,513.7,30.2,180.1,8.9,3.1,6.0,57.6,5226,149.07,35,469,4425,26162,84.7,500.6,29.7,175.5,9.0,3.1,5.9,55.8,5226,149.07,35,511,4386,25843,83.9,494.5,29.4,173.4,9.8,3.4,5.9,50.6
"Komiža",1394,48.30,28,1443,15034,92952,1078.5,6668.0,311.3,1924.5,103.5,29.9,6.2,64.4,1394,48.30,28,1965,17020,102710,1220.9,7368.0,352.4,2126.5,141.0,40.7,6.0,52.3,1394,48.30,28,1479,16707,99609,1198.5,7145.6,345.9,2062.3,106.1,30.6,6.0,67.3,1394,48.30,28,1981,16972,100718,1217.5,7225.1,351.4,2085.3,142.1,41.0,5.9,50.8
"Leæevica",495,87.64,5,64,367,3222,74.1,650.9,4.2,36.8,12.9,0.7,8.8,50.3,495,87.64,5,62,350,3074,70.7,621.0,4.0,35.1,12.5,0.7,8.8,49.6,495,87.64,5,54,313,2572,63.2,519.6,3.6,29.3,10.9,0.6,8.2,47.6,495,87.64,5,64,387,3045,78.2,615.2,4.4,34.7,12.9,0.7,7.9,47.6
"Lokvièiæi",667,28.52,23,31,z,z,z,z,z,z,4.6,1.1,z,z,667,28.52,23,54,302,2772,45.3,415.6,10.6,97.2,8.1,1.9,9.2,51.3,667,28.52,23,63,z,z,z,z,z,z,9.4,2.2,z,z,667,28.52,23,67,398,3440,59.7,515.7,14.0,120.6,10.0,2.3,8.6,51.3
"Lovreæ",1402,105.19,13,97,445,3824,31.7,272.8,4.2,36.4,6.9,0.9,8.6,39.4,1402,105.19,13,97,590,5068,42.1,361.5,5.6,48.2,6.9,0.9,8.6,52.2,1402,105.19,13,127,648,6023,46.2,429.6,6.2,57.3,9.1,1.2,9.3,47.4,1402,105.19,13,161,777,6973,55.4,497.4,7.4,66.3,11.5,1.5,9.0,43.3
"Makarska",13301,37.78,352,18309,196086,1152713,1474.2,8666.4,5190.2,30511.2,137.7,484.6,5.9,63.0,13301,37.78,352,19323,284902,1568850,2142.0,11795.0,7541.1,41525.9,145.3,511.5,5.5,81.2,13301,37.78,352,19762,300675,1615129,2260.5,12142.9,7958.6,42750.9,148.6,523.1,5.4,81.7,13301,37.78,352,19874,316894,1672925,2382.5,12577.4,8387.9,44280.7,149.4,526.0,5.3,84.2
"Marina",4273,118.40,36,5719,36190,306024,846.9,7161.8,305.7,2584.7,133.8,48.3,8.5,53.5,4273,118.40,36,6018,43770,358032,1024.3,8378.9,369.7,3023.9,140.8,50.8,8.2,59.5,4273,118.40,36,6239,45231,353241,1058.5,8266.8,382.0,2983.5,146.0,52.7,7.8,56.6,4273,118.40,36,6241,45636,350826,1068.0,8210.3,385.4,2963.1,146.1,52.7,7.7,56.2
"Milna",931,34.85,26,1967,17984,128026,1931.7,13751.5,516.0,3673.6,211.3,56.4,7.1,65.1,931,34.85,26,1961,20764,148387,2230.3,15938.5,595.8,4257.9,210.6,56.3,7.1,75.7,931,34.85,26,1884,20305,145612,2181.0,15640.4,582.6,4178.2,202.4,54.1,7.2,77.3,931,34.85,26,1890,20357,144964,2186.6,15570.8,584.1,4159.7,203.0,54.2,7.1,76.7
"Muæ",3465,222.53,15,123,669,4775,19.3,137.8,3.0,21.5,3.5,0.6,7.1,38.8,3465,222.53,15,149,868,6920,25.1,199.7,3.9,31.1,4.3,0.7,8.0,46.4,3465,222.53,15,156,920,7516,26.6,216.9,4.1,33.8,4.5,0.7,8.2,48.2,3465,222.53,15,135,1061,7794,30.6,224.9,4.8,35.0,3.9,0.6,7.3,57.7
